Team,FF,FR,FR TD,Rec FUM,Rush FUM,year
Bills,                    21                  ,                    11                  ,                    0                  ,                    4                  ,                    10                  ,2018
Texans,                    20                  ,                    14                  ,                    1                  ,                    6                  ,                    6                  ,2018
Saints,                    19                  ,                    12                  ,                    0                  ,                    9                  ,                    4                  ,2018
Redskins,                    19                  ,                    11                  ,                    1                  ,                    9                  ,                    3                  ,2018
Bears,                    18                  ,                    9                  ,                    1                  ,                    4                  ,                    5                  ,2018
Browns,                    18                  ,                    14                  ,                    0                  ,                    8                  ,                    6                  ,2018
Seahawks,                    18                  ,                    14                  ,                    1                  ,                    5                  ,                    7                  ,2018
Colts,                    15                  ,                    11                  ,                    0                  ,                    7                  ,                    5                  ,2018
Cowboys,                    14                  ,                    11                  ,                    1                  ,                    5                  ,                    7                  ,2018
Patriots,                    14                  ,                    10                  ,                    1                  ,                    5                  ,                    8                  ,2018
Panthers,                    13                  ,                    9                  ,                    1                  ,                    2                  ,                    9                  ,2018
Broncos,                    13                  ,                    10                  ,                    0                  ,                    3                  ,                    6                  ,2018
Rams,                    13                  ,                    12                  ,                    1                  ,                    2                  ,                    4                  ,2018
Jets,                    13                  ,                    7                  ,                    0                  ,                    3                  ,                    4                  ,2018
Cardinals,                    13                  ,                    8                  ,                    2                  ,                    5                  ,                    3                  ,2018
Steelers,                    13                  ,                    7                  ,                    1                  ,                    2                  ,                    5                  ,2018
Titans,                    12                  ,                    6                  ,                    0                  ,                    4                  ,                    2                  ,2018
Eagles,                    12                  ,                    7                  ,                    0                  ,                    3                  ,                    6                  ,2018
Buccaneers,                    12                  ,                    8                  ,                    1                  ,                    4                  ,                    5                  ,2018
Dolphins,                    11                  ,                    7                  ,                    0                  ,                    7                  ,                    3                  ,2018
Giants,                    11                  ,                    5                  ,                    0                  ,                    4                  ,                    7                  ,2018
49ers,                    11                  ,                    5                  ,                    0                  ,                    4                  ,                    6                  ,2018
Bengals,                    10                  ,                    6                  ,                    2                  ,                    3                  ,                    3                  ,2018
Lions,                    10                  ,                    7                  ,                    0                  ,                    2                  ,                    5                  ,2018
Packers,                    10                  ,                    8                  ,                    0                  ,                    3                  ,                    6                  ,2018
Ravens,                    9                  ,                    5                  ,                    3                  ,                    4                  ,                    2                  ,2018
Falcons,                    8                  ,                    4                  ,                    1                  ,                    1                  ,                    10                  ,2018
Vikings,                    8                  ,                    8                  ,                    2                  ,                    1                  ,                    12                  ,2018
Jaguars,                    7                  ,                    6                  ,                    0                  ,                    0                  ,                    5                  ,2018
Chargers,                    7                  ,                    7                  ,                    1                  ,                    3                  ,                    6                  ,2018
Raiders,                    5                  ,                    3                  ,                    0                  ,                    1                  ,                    6                  ,2018
49ers,                    23                  ,                    15                  ,                    2                  ,                    7                  ,                    9                  ,2019
Steelers,                    22                  ,                    18                  ,                    2                  ,                    3                  ,                    14                  ,2019
Buccaneers,                    21                  ,                    15                  ,                    4                  ,                    5                  ,                    6                  ,2019
Vikings,                    19                  ,                    14                  ,                    1                  ,                    9                  ,                    3                  ,2019
Cardinals,                    19                  ,                    10                  ,                    0                  ,                    5                  ,                    3                  ,2019
Seahawks,                    19                  ,                    16                  ,                    1                  ,                    7                  ,                    5                  ,2019
Falcons,                    17                  ,                    8                  ,                    1                  ,                    3                  ,                    10                  ,2019
Bills,                    16                  ,                    9                  ,                    0                  ,                    9                  ,                    6                  ,2019
Lions,                    16                  ,                    11                  ,                    1                  ,                    5                  ,                    7                  ,2019
Redskins,                    16                  ,                    9                  ,                    0                  ,                    3                  ,                    8                  ,2019
Ravens,                    15                  ,                    12                  ,                    4                  ,                    6                  ,                    5                  ,2019
Rams,                    15                  ,                    11                  ,                    2                  ,                    5                  ,                    8                  ,2019
Patriots,                    15                  ,                    11                  ,                    2                  ,                    6                  ,                    5                  ,2019
Eagles,                    15                  ,                    9                  ,                    2                  ,                    3                  ,                    8                  ,2019
Cowboys,                    14                  ,                    10                  ,                    1                  ,                    3                  ,                    7                  ,2019
Texans,                    14                  ,                    10                  ,                    0                  ,                    1                  ,                    4                  ,2019
Colts,                    14                  ,                    8                  ,                    0                  ,                    4                  ,                    4                  ,2019
Jaguars,                    13                  ,                    8                  ,                    1                  ,                    2                  ,                    6                  ,2019
Chiefs,                    13                  ,                    7                  ,                    2                  ,                    2                  ,                    6                  ,2019
Bears,                    12                  ,                    9                  ,                    0                  ,                    4                  ,                    5                  ,2019
Browns,                    12                  ,                    6                  ,                    0                  ,                    3                  ,                    10                  ,2019
Packers,                    12                  ,                    7                  ,                    0                  ,                    4                  ,                    10                  ,2019
Titans,                    11                  ,                    9                  ,                    2                  ,                    3                  ,                    5                  ,2019
Saints,                    11                  ,                    10                  ,                    1                  ,                    2                  ,                    7                  ,2019
Jets,                    10                  ,                    8                  ,                    2                  ,                    2                  ,                    8                  ,2019
Bengals,                    9                  ,                    5                  ,                    0                  ,                    4                  ,                    5                  ,2019
Broncos,                    9                  ,                    6                  ,                    1                  ,                    5                  ,                    1                  ,2019
Raiders,                    9                  ,                    6                  ,                    0                  ,                    2                  ,                    3                  ,2019
Dolphins,                    9                  ,                    3                  ,                    0                  ,                    2                  ,                    8                  ,2019
Giants,                    9                  ,                    6                  ,                    1                  ,                    3                  ,                    8                  ,2019
Panthers,                    8                  ,                    7                  ,                    1                  ,                    0                  ,                    5                  ,2019
Chargers,                    6                  ,                    3                  ,                    0                  ,                    1                  ,                    7                  ,2019
Ravens,                    25                  ,                    11                  ,                    3                  ,                    11                  ,                    7                  ,2020
Falcons,                    17                  ,                    9                  ,                    0                  ,                    4                  ,                    8                  ,2020
Browns,                    17                  ,                    10                  ,                    0                  ,                    4                  ,                    12                  ,2020
